Date,Bar Name,Brand Name,Demand (ml),Forecast (ml),Par Level (ml),Closing Inventory (ml),Order Quantity (ml),Lost Demand (ml),Stockout Day
2023-12-29,Anderson's Bar,Bacardi,502.15,187.46428571428572,810,0.0,469.29,182.85999999999996,True
2023-12-30,Anderson's Bar,Bacardi,0.0,259.2,930,340.71,120.0,0.0,False
2023-12-31,Anderson's Bar,Bacardi,498.25,185.34285714285716,780,311.75,348.25,0.0,False
2024-01-01,Anderson's Bar,Bacardi,0.0,256.5214285714286,930,431.75,150.0,0.0,False
2023-10-21,Anderson's Bar,Barefoot,0.0,56.74,540,540.0,0.0,0.0,False
2023-10-22,Anderson's Bar,Barefoot,0.0,113.67125,630,540.0,90.0,0.0,False
2023-10-23,Anderson's Bar,Barefoot,0.0,52.16,510,540.0,0.0,0.0,False
2023-10-24,Anderson's Bar,Barefoot,0.0,98.88749999999999,600,630.0,0.0,0.0,False
2023-10-25,Anderson's Bar,Barefoot,0.0,283.63,990,630.0,360.0,0.0,False
2023-10-26,Anderson's Bar,Barefoot,0.0,211.00875,840,630.0,0.0,0.0,False
2023-10-27,Anderson's Bar,Barefoot,0.0,203.03750000000002,810,990.0,0.0,0.0,False
2023-10-28,Anderson's Bar,Barefoot,0.0,56.74,540,990.0,0.0,0.0,False
2023-10-29,Anderson's Bar,Barefoot,0.0,113.67125000000001,630,990.0,0.0,0.0,False
2023-10-30,Anderson's Bar,Barefoot,0.0,52.16,510,990.0,0.0,0.0,False
2023-10-31,Anderson's Bar,Barefoot,0.0,98.88749999999999,600,990.0,0.0,0.0,False
2023-11-01,Anderson's Bar,Barefoot,0.0,283.63,990,990.0,0.0,0.0,False
2023-11-02,Anderson's Bar,Barefoot,0.0,211.00875,840,990.0,0.0,0.0,False
2023-11-03,Anderson's Bar,Barefoot,0.0,155.3375,720,990.0,0.0,0.0,False
2023-11-04,Anderson's Bar,Barefoot,0.0,56.74,540,990.0,0.0,0.0,False
2023-11-05,Anderson's Bar,Barefoot,349.94,113.67125000000001,630,640.06,0.0,0.0,False
2023-11-06,Anderson's Bar,Barefoot,0.0,52.16,510,640.06,0.0,0.0,False
2023-11-07,Anderson's Bar,Barefoot,0.0,60.4725,540,640.06,0.0,0.0,False
2023-11-08,Anderson's Bar,Barefoot,0.0,267.02625,960,640.06,319.94000000000005,0.0,False
2023-11-09,Anderson's Bar,Barefoot,0.0,211.00875,840,640.06,0.0,0.0,False
2023-11-10,Anderson's Bar,Barefoot,0.0,155.3375,720,960.0,0.0,0.0,False
2023-11-11,Anderson's Bar,Barefoot,0.0,56.74,540,960.0,0.0,0.0,False
2023-11-12,Anderson's Bar,Barefoot,573.65,157.41375000000002,720,386.35,333.65,0.0,False
2023-11-13,Anderson's Bar,Barefoot,0.0,52.16,510,386.35,0.0,0.0,False
2023-11-14,Anderson's Bar,Barefoot,0.0,0.0,420,720.0,0.0,0.0,False
2023-11-15,Anderson's Bar,Barefoot,0.0,195.27,810,720.0,90.0,0.0,False
2023-11-16,Anderson's Bar,Barefoot,231.8,143.36374999999998,690,488.2,111.79999999999995,0.0,False
2023-11-17,Anderson's Bar,Barefoot,0.0,95.38375,600,578.2,0.0,0.0,False
2023-11-18,Anderson's Bar,Barefoot,0.0,56.74,540,690.0,0.0,0.0,False
2023-11-19,Anderson's Bar,Barefoot,0.0,192.24874999999997,810,690.0,120.0,0.0,False
2023-11-20,Anderson's Bar,Barefoot,0.0,52.16,510,690.0,0.0,0.0,False
2023-11-21,Anderson's Bar,Barefoot,384.85,0.0,420,425.15,0.0,0.0,False
2023-11-22,Anderson's Bar,Barefoot,0.0,195.27,810,425.15,384.85,0.0,False
2023-11-23,Anderson's Bar,Barefoot,0.0,111.04374999999999,630,425.15,0.0,0.0,False
2023-11-24,Anderson's Bar,Barefoot,0.0,73.4925,570,810.0,0.0,0.0,False
2023-11-25,Anderson's Bar,Barefoot,0.0,56.74,540,810.0,0.0,0.0,False
2023-11-26,Anderson's Bar,Barefoot,0.0,147.1025,720,810.0,0.0,0.0,False
2023-11-27,Anderson's Bar,Barefoot,0.0,0.0,420,810.0,0.0,0.0,False
2023-11-28,Anderson's Bar,Barefoot,0.0,48.10625,510,810.0,0.0,0.0,False
2023-11-29,Anderson's Bar,Barefoot,0.0,130.895,690,810.0,0.0,0.0,False
2023-11-30,Anderson's Bar,Barefoot,250.5,111.04374999999999,630,559.5,70.5,0.0,False
2023-12-01,Anderson's Bar,Barefoot,0.0,73.4925,570,559.5,0.0,0.0,False
2023-12-02,Anderson's Bar,Barefoot,287.17,56.74,540,342.83,197.17000000000002,0.0,False
2023-12-03,Anderson's Bar,Barefoot,124.88,147.1025,720,217.95,304.88,0.0,False
2023-12-04,Anderson's Bar,Barefoot,0.0,0.0,420,415.12,0.0,0.0,False
2023-12-05,Anderson's Bar,Barefoot,0.0,48.10625,510,720.0,0.0,0.0,False
2023-12-06,Anderson's Bar,Barefoot,0.0,18.43375,450,720.0,0.0,0.0,False
2023-12-07,Anderson's Bar,Barefoot,0.0,142.35625,690,720.0,0.0,0.0,False
2023-12-08,Anderson's Bar,Barefoot,0.0,73.4925,570,720.0,0.0,0.0,False
2023-12-09,Anderson's Bar,Barefoot,275.74,92.63625,600,444.26,155.74,0.0,False
